epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.9407442697135651,0.18476881840341933,0.01,0.9470545639313218,0.16921911070762255
1,0.9471810035954136,0.1600504396511015,0.01,0.9548447520136678,0.14471219791139575
2,0.9502812910713204,0.14841084208812008,0.01,0.9550209583569984,0.13437850865620324
3,0.9525195847798364,0.14053502347849806,0.01,0.9601587697735888,0.12607532963872545
4,0.9538552144755212,0.13528639098887255,0.01,0.9623938115254157,0.11620015901146044
5,0.9554926068338482,0.13016238847607786,0.01,0.963617985742614,0.10918546052636557
6,0.9560712043409865,0.12710040032476047,0.01,0.96365508225886,0.10959656067894856
7,0.9572533280645994,0.12401352089574066,0.01,0.9653058595640014,0.10763949851143426
8,0.9582504575697735,0.12097240354585102,0.01,0.9643599100621822,0.10982327026241756
9,0.9586611174213681,0.11937027884100726,0.01,0.9645546618544322,0.11273964189555978
10,0.9596267591202962,0.11672570673056167,0.01,0.9671606652243234,0.10431547105405213
11,0.9604060945628755,0.11457694012007011,0.01,0.9664280163842466,0.10688091864820519
12,0.9605897759792146,0.11370481004743672,0.01,0.9648514316008326,0.11014585698933238
13,0.9608587395706498,0.11254127750336819,0.01,0.9670493766352035,0.10345366254441152
0,0.9613992870872163,0.11116175680661779,0.01,0.9684961256315974,0.10016861027462147
1,0.961963453904987,0.1092501286343208,0.01,0.9662425346542909,0.10590125777318753
2,0.9625866597835894,0.10799185516031005,0.01,0.9683662887301825,0.10301707101194031
3,0.9623583692250274,0.10735182406124241,0.01,0.9684868539905771,0.09640039605437022
4,0.963097032990131,0.10576643846095088,0.01,0.9675872693028397,0.09964765890682094
5,0.963540492191019,0.10462112496892516,0.01,0.9674667088714893,0.09883893850462386
6,0.963993137041138,0.10367160741357344,0.01,0.969191678868613,0.09628519507464078
7,0.9638789917596673,0.10323626344838008,0.01,0.9689041837813853,0.09310245903083579
8,0.9640049451108079,0.1025403422355468,0.01,0.9675501751701605,0.09959756490786303
9,0.9645494304468462,0.10151376871574215,0.01,0.9682457267974947,0.09866653339440591
10,0.9647737851106447,0.10066528256221248,0.01,0.9671050226090946,0.10054440250689411
11,0.9652277406695517,0.0992571262753661,0.01,0.9691082130033175,0.09677320823820186
12,0.966151397564835,0.09673191012232946,0.0009999999,0.970360206755933,0.0915424295922853
13,0.9667194995722997,0.09478811761377,0.0009999999,0.9703694792637049,0.09013513351351185
