epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.9406716652221643,0.18414712081339732,0.01,0.9498794031762458,0.1622006650559314
1,0.947041251742422,0.16038975736065952,0.01,0.9521985132663281,0.14586487326529118
2,0.9503893857357495,0.1478890847291842,0.01,0.9581261587452579,0.12822505974150322
3,0.9527220598886387,0.13960407379595627,0.01,0.959248608056601,0.12740333251945385
4,0.9544814056472927,0.13354495323739546,0.01,0.9609833027480484,0.11625179687490711
5,0.9553591092085998,0.12949028846672092,0.01,0.9636734716923205,0.1126196686807391
6,0.9567576638878543,0.1263877856589968,0.01,0.9602782952630675,0.11689132934363632
7,0.9577153975472602,0.12340569315131568,0.01,0.9648515791707225,0.11118904430177305
8,0.9585904782852396,0.12084463293346052,0.01,0.9630055669066194,0.11385734788783185
9,0.9588226965449225,0.11892269560621782,0.01,0.965194806557197,0.10844197629769514
10,0.9595626426096938,0.11695409713796195,0.01,0.9655380370090534,0.10706703971732746
11,0.9597896135104727,0.11577879453719594,0.01,0.9660111344325077,0.10456416042981209
12,0.9605781044032342,0.11381108698069536,0.01,0.9662059378933597,0.10832967837522556
13,0.9609821894615352,0.11246051767901331,0.01,0.9669944356633471,0.10270698170383255
0,0.9614964789318116,0.11129545225371744,0.01,0.9686920256428905,0.09925700956350797
1,0.9621787012021885,0.10892690216076777,0.01,0.9680426728570616,0.0992455606878578
2,0.9624857012026193,0.10832287954571193,0.01,0.9685621540267746,0.09665439622162224
3,0.9630170465041185,0.10693826916804873,0.01,0.9685250473022461,0.098689221964254
4,0.9631941621855857,0.10577596690970754,0.01,0.9691372929300581,0.09676683734376709
5,0.9632125289380074,0.10567360118072008,0.01,0.9692949956113642,0.09547467856825172
6,0.9637307550868424,0.10418069846536733,0.01,0.9689795927567916,0.09759193916792994
7,0.9640613700131212,0.10332032731981844,0.01,0.9685157731910805,0.09617274359062121
8,0.9640088910026893,0.10230685592718035,0.01,0.9702690210899749,0.0914105019641
9,0.9645113739537489,0.10149709492550696,0.01,0.9690167016797252,0.09487587479414877
10,0.964788197888642,0.10013474751901297,0.01,0.9684415620333189,0.09855329534353374
11,0.9652434498713216,0.09996902632394515,0.01,0.9693599291590901,0.09416680042232786
12,0.965209338813199,0.09939112931262228,0.01,0.9700092804896367,0.09187383534072281
13,0.9664189694262507,0.09561125279604911,0.0009999999,0.9713265350886754,0.08760069091018144
