epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.7031155360387644,0.6477164206614572,0.4997350090854028,0.836194727355462
1,0.7667512113870382,0.5132383473492766,0.7526309812235009,0.5434345397748491
2,0.7931745911568746,0.4635338439752231,0.7730542095699576,0.516063321514934
3,0.8151877649909146,0.42249998087452656,0.7365233192004845,0.6511991669140138
4,0.8282858873410055,0.4027179426167821,0.7907707450030285,0.48396946198286106
5,0.8370873712901272,0.38939838354187545,0.7295010599636584,0.5656935953862879
6,0.837806632344034,0.3822809137191865,0.7522334948516051,0.5834017323678656
7,0.8401536947304664,0.37922458930097874,0.809036190187765,0.44122593274519417
8,0.8427089642640824,0.375682657754905,0.786038764385221,0.5121600876191686
9,0.8432010902483343,0.373614534085841,0.7959002119927316,0.48747002548887325
10,0.8459456390066626,0.3695887099209155,0.7838620533010296,0.49837529788787693
11,0.8452831617201696,0.36743157469345394,0.8000264990914597,0.46915743914266417
12,0.8483873410054512,0.36530991125150136,0.8050991823137492,0.4435630915410081
13,0.8533086008479709,0.35524846555192424,0.8008403997577226,0.4550727681476264
14,0.8535735917625682,0.35295080621447583,0.7954648697758934,0.4667977967532493
15,0.8559206541490006,0.3505602753312208,0.794196698970321,0.4833341860395717
16,0.8549553301029679,0.3504093290909646,0.7983419139915203,0.46252695899084434
17,0.8559585099939431,0.3508791738950722,0.7938559963658389,0.47931575393366277
18,0.8581352210781344,0.34854308499992437,0.7950484554815264,0.4756609017806729
19,0.8584759236826166,0.3471014245595447,0.7952188067837674,0.47659950376206783
0,0.8563749242883101,0.35010797050705394,0.7941209872804361,0.47248400500476323
1,0.8567724106602059,0.34768946092465225,0.7926446093276802,0.47693971333080964
