epoch,acc,loss,lr,val_acc,val_loss
0,0.9467966395410454,0.16246772414956798,1e-04,0.9572725586854066,0.12784789973621083
1,0.9553837139185036,0.13069742611691285,1e-04,0.959922180549953,0.11563389657111174
2,0.9586721017918957,0.11973978837461804,1e-04,0.9568093404541065,0.12506259139023249
3,0.9605275602376089,0.11369117158693838,1e-04,0.9602649618370215,0.11765511005189168
4,0.961704608145085,0.10940050713453224,1e-04,0.9629886976785078,0.10779435211737023
5,0.9629420183598174,0.10614855778886573,1e-04,0.9625903324703607,0.10526050135164719
6,0.963789702482322,0.10304138726031714,1e-04,0.9654252395091818,0.0992142626457641
7,0.9646465711994482,0.10029279581210648,1e-04,0.964508062407819,0.102150241903062
8,0.9649772490525476,0.09846557359683258,1e-04,0.9652028938366436,0.10148374891505321
9,0.966007328880531,0.0959115814413905,1e-04,0.9647767305064913,0.10081211730895803
10,0.966419361460834,0.09437317215433179,1e-04,0.9623031340684408,0.10772418167572541
11,0.9668996289203269,0.0926628423600192,1e-04,0.9663053605497733,0.09636981042751852
12,0.9673313443638047,0.09098140631036264,1e-04,0.967732077721028,0.09136126815654269
13,0.9678824710982602,0.0895524934518936,1e-04,0.9682138276162006,0.0905383315454352
14,0.968253826663168,0.08818150105959971,1e-04,0.9691680622162676,0.08801727907589592
15,0.9686842278983594,0.08675884713723017,1e-04,0.9663980043506498,0.09617422210335268
16,0.9691605585977552,0.08553227888641343,1e-04,0.9695108433796429,0.08754213941893535
17,0.9695227283723131,0.08458818334310171,1e-04,0.9683991139346368,0.09071357331580535
18,0.9701407764237155,0.0825423463622237,1e-04,0.9679358937087844,0.09234908304712343
19,0.9702785580339651,0.081949437714019,1e-04,0.9689457149202567,0.09026689928136138
20,0.9708139373404058,0.0802283604288625,1e-04,0.9690105662271671,0.09004609218947154
21,0.9711472381570317,0.07909613782361685,1e-04,0.9676394341984611,0.09152286984654562
22,0.9729620183675317,0.07356981006181139,5e-05,0.9705577214404303,0.08506289111732973
23,0.9737270342400095,0.07160433732288254,5e-05,0.9721141408389644,0.08056305746623978
24,0.9741167586678537,0.0703946254414088,5e-05,0.9712710807141008,0.08221285708451549
25,0.9745327293572806,0.06930075991316652,5e-05,0.9714285767495864,0.08230987805607408
26,0.9749683818192733,0.06813602959094217,5e-05,0.970900506732065,0.08490386557524925
27,0.97525444286814,0.06702109846379994,5e-05,0.9714193096575261,0.08312573408377001
28,0.975470957006369,0.066507985131106,5e-05,0.9712988727442176,0.08440007305524073
29,0.9772791747032127,0.06167988358880226,2.5e-05,0.9719844415803209,0.08348902722702262
30,0.9776046025996985,0.060405009159101825,2.5e-05,0.9726514770672324,0.08218584494754652
31,0.9781189873575328,0.05909261785024111,2.5e-05,0.972002966100913,0.08509944757366923
32,0.9783919264297269,0.058103645588383726,2.5e-05,0.972058555943802,0.08667330210194978
33,0.9788498870244685,0.056855589743840064,2.5e-05,0.9720029721618781,0.08454249292689384
34,0.979782865257868,0.054663188090032525,1.25e-05,0.9722994342852196,0.08490731246895054
35,0.9799062129103665,0.05358928246080391,1.25e-05,0.9722345818805324,0.08605035726469006
36,0.9806108666989658,0.05238051127186467,1.25e-05,0.9722438429116275,0.0864231323163797
37,0.9807735817115383,0.05157196797258328,1.25e-05,0.9725125113040711,0.08633607091374898
38,0.9809664758979983,0.051243002174046634,1.25e-05,0.9723642821132595,0.08707625519981953
39,0.9816999986839491,0.04926218831230805,6.25e-06,0.9724569251255921,0.08620068630742346
40,0.9818377808197934,0.048911477881926006,6.25e-06,0.972419868229892,0.08865638822510394
41,0.9822051985931243,0.04785664548088181,6.25e-06,0.9725032436244683,0.08886486540624604
42,0.9821225292174485,0.047878760670228906,6.25e-06,0.9728367662615349,0.0892253742259764
43,0.9824322109867667,0.04728636584189679,6.25e-06,0.9725866281568772,0.08859896917287478
