epoch,acc,loss,lr,val_acc,val_loss
0,0.9411265939286863,0.18138494177523282,0.001,0.9412265977197739,0.17592339774668603
1,0.9416882174884992,0.17547437869387117,0.001,0.9412265977197739,0.17536965015256142
2,0.9416882173198708,0.17556764266676822,0.001,0.9412265977197739,0.17557104130199447
3,0.941688218119213,0.17570403231135473,0.001,0.9412265977197739,0.175269110688285
4,0.9416882177447267,0.17559975745260362,0.001,0.9412265977197739,0.17540219181861086
5,0.9416882178564157,0.17548807978763656,0.001,0.9412265977197739,0.17537995482542482
6,0.941688216997944,0.17536662135622383,0.001,0.9412265977197739,0.17530748723932432
7,0.9416882172892111,0.17510131350555044,0.001,0.9412265977197739,0.1753422736464462
8,0.9416882171096329,0.1752604856267536,0.001,0.9412265977197739,0.17535930897861757
9,0.9416882174359398,0.17471164590655328,0.0005,0.9412265977197739,0.17541320808280148
10,0.9416882178498457,0.17480564936538348,0.0005,0.9412265977197739,0.17548923352503745
11,0.9416882172848312,0.17490050319341188,0.0005,0.9412265977197739,0.17570113697791068
12,0.9416882173417707,0.17508717580288938,0.0005,0.9412265977197739,0.17586100954180717
13,0.941688217716257,0.17522164774161353,0.0005,0.9412265977197739,0.1759800315057876
14,0.9416882181367329,0.1752981192884335,0.00025,0.9412265977197739,0.17603038170226354
15,0.9416882173833803,0.1753459181108924,0.00025,0.9412265977197739,0.17608045995158134
16,0.9416882177972862,0.17539279901344507,0.00025,0.9412265977197739,0.17612676225438348
17,0.9416882173768103,0.1754423593995844,0.00025,0.9412265977197739,0.17616623229940268
18,0.941688217306731,0.17547534716614602,0.00025,0.9412265977197739,0.1761976383771414
19,0.9416882171797123,0.17549662291510887,0.000125,0.9412265977197739,0.17621266730178037
20,0.9416882177272069,0.17551522349967014,0.000125,0.9412265977197739,0.17623173144154358
21,0.9416882180600836,0.17553109794178415,0.000125,0.9412265977197739,0.17624647627003617
22,0.9416882170614534,0.1755477730512606,0.000125,0.9412265977197739,0.17626567291996978
23,0.941688216997944,0.17556661777599356,0.000125,0.9412265977197739,0.17627654060160913
0,0.9416882174709794,0.17561668574220923,0.001,0.9412265977197739,0.17536155007847243
1,0.941688218119213,0.17546445417696319,0.001,0.9412265977197739,0.1752835668285224
2,0.9416882178914553,0.17530751310511464,0.001,0.9412265977197739,0.17539172087120794
3,0.9416882167110568,0.1750871005691893,0.001,0.9412265977197739,0.17531267161808434
4,0.9416882176045681,0.17482101595613753,0.001,0.9412265977197739,0.1753624736953493
5,0.9416882176987371,0.17474128330713523,0.001,0.9412265977197739,0.1756220579495226
6,0.941688217506019,0.1750982345427848,0.001,0.9412265977197739,0.17595314397808798
7,0.941688217506019,0.1752985205792722,0.0005,0.9412265977197739,0.17607415534565576
8,0.9416882174359398,0.1753882717250985,0.0005,0.9412265977197739,0.17616515089256446
9,0.9416882178213759,0.17549652205345917,0.0005,0.9412265977197739,0.17625021645763042
10,0.9416882174009,0.17557076963468377,0.0005,0.9412265977197739,0.17631071723620714
11,0.941688216798656,0.1756297645675456,0.0005,0.9412265977197739,0.17636415443145192
12,0.9416882172257018,0.1756604981552947,0.00025,0.9412265977197739,0.17638641575353772
13,0.9416882174009,0.17568233449057347,0.00025,0.9412265977197739,0.1764058889466037
14,0.941688217814806,0.17569934099416612,0.00025,0.9412265977197739,0.1764222682411414
15,0.9416882174009,0.17572325621170226,0.00025,0.9412265977197739,0.17644433809393575
16,0.9416882174709794,0.17573735186951364,0.00025,0.9412265977197739,0.1764651813009215
17,0.9416882179965742,0.17575062237271802,0.000125,0.9412265977197739,0.17646265630592167
18,0.9416882174009,0.17575341731689853,0.000125,0.9412265977197739,0.17646862365083163
19,0.9416882174293698,0.17576260443382788,0.000125,0.9412265977197739,0.17647839373728955
20,0.9416882170614534,0.17577063618215863,0.000125,0.9412265977197739,0.17648688096325996
21,0.9416882179900044,0.1757749838117867,0.000125,0.9412265977197739,0.17648598062389093
0,0.9416882172366517,0.1753885585925719,0.001,0.9412265977197739,0.17537556499358745
1,0.9416882173373907,0.1750790573585111,0.001,0.9412265977197739,0.17535186102263503
2,0.9416882180557037,0.17481596508499422,0.001,0.9412265977197739,0.17534470746412043
3,0.9416882174009,0.17472027454912722,0.001,0.9412265977197739,0.17558776935328152
4,0.9416882172191319,0.17509573911676227,0.001,0.9412265977197739,0.17594958928772447
5,0.9416882168577854,0.17538630415479445,0.001,0.9412265977197739,0.17617335986689062
6,0.9416882167001069,0.17555213441287507,0.001,0.9412265977197739,0.17632305029533252
7,0.941688217103063,0.17567216030763055,0.001,0.9412265977197739,0.1764048446361193
8,0.9416882176461777,0.17572399461359606,0.0005,0.9412265977197739,0.17643166163552132
9,0.9416882172191319,0.17575115112769646,0.0005,0.9412265977197739,0.17645659768318542
10,0.9416882181016932,0.1757803547055829,0.0005,0.9412265977197739,0.1764771383134926
11,0.9416882171731423,0.17579571153423404,0.0005,0.9412265977197739,0.17651413764548518
12,0.941688217516969,0.17583733119220268,0.0005,0.9412265977197739,0.17653787826826908
