epoch,acc,loss,lr,val_acc,val_loss
0,0.9415412516581143,0.17696201316822055,0.001,0.944487668970061,0.16367995110853792
1,0.9453479614523939,0.16494007827233317,0.001,0.9470724375022215,0.156637427682388
2,0.9467323382333439,0.15914477379243563,0.001,0.9489716432437822,0.15792638780464613
3,0.9473831928875268,0.1553806254473441,0.001,0.9500463173083294,0.14748034378279354
4,0.9487688828715632,0.1505265232117691,0.001,0.9493885431462843,0.1694372162126227
5,0.9496113191704932,0.14711097189964614,0.001,0.9502871913823326,0.14160842994848888
6,0.9505692301076125,0.1435124412560597,0.001,0.9530387232585021,0.1363508803506615
7,0.95111773197545,0.14039838935024798,0.001,0.9516583257148238,0.16018187033759018
8,0.9518276355739343,0.13813223130857277,0.001,0.953390771714939,0.13695234475432666
9,0.9526936915158464,0.1354660746157027,0.001,0.9510283465979165,0.13991556413056166
10,0.9538812372385503,0.13217971483486046,0.001,0.9563831749438622,0.12755637831609073
11,0.9548627681799979,0.12914602041724113,0.001,0.9564850815384613,0.1282687853765704
12,0.9557721261856912,0.12678596661467703,0.001,0.9582916444377676,0.12165663460735836
13,0.956517459087685,0.12359675110288715,0.001,0.9599221785244775,0.11800678693598811
14,0.9576682638740077,0.12124225865381175,0.001,0.9584491410607958,0.12378506919250723
15,0.9583401131052666,0.11919436387688433,0.001,0.9610153806812568,0.11338572120426849
16,0.9588728687364375,0.11751751386913874,0.001,0.9633407459184817,0.10807618510205148
17,0.959173363681736,0.11646226384631243,0.001,0.9603946654867724,0.11358668878771143
18,0.9597940368340842,0.11518816712136552,0.001,0.9584954596060569,0.11988145783833493
19,0.9601522686352968,0.1136980163425598,0.001,0.9637113227299988,0.10555352593171767
20,0.9602454355108434,0.11292369489967943,0.001,0.9607930351942584,0.11320440330278085
21,0.9605262467542052,0.1121127866620543,0.001,0.9611450813469101,0.12046982416576293
22,0.9613253809630742,0.11095138888923953,0.001,0.9646748227368069,0.10174598551793786
23,0.9616626175148875,0.10995135497522594,0.001,0.9644895321354946,0.10475652074071684
24,0.9617794032932033,0.10923494618467744,0.001,0.9636557351135867,0.10601610700985183
0,0.9614854694774947,0.11004980448077041,0.001,0.9624235719249097,0.11407123404215591
1,0.9618555107399469,0.10912573181245216,0.001,0.9633036887290104,0.10586589050857319
2,0.9622898512887504,0.10843766782819189,0.001,0.9641467514205072,0.10201360325675685
3,0.9625103019067593,0.10712992063837691,0.001,0.9647582008371712,0.102127226015937
4,0.9627884895953003,0.10669868327445933,0.001,0.9621363742033022,0.11481562748300117
5,0.9631952726416555,0.10585741377882688,0.001,0.9650546623420468,0.11730562692988862
6,0.9632188924007064,0.10544644868602286,0.001,0.9649712815668178,0.10918316841125489
7,0.9633973526513151,0.10473987658493716,0.001,0.9668519572525173,0.10334394670414089
8,0.9652278795233374,0.09941437210623914,0.0005,0.9682416182702308,0.09237664746248614
9,0.9653774713021895,0.09881863715500433,0.0005,0.9665462300935144,0.10030482684669173
10,0.9657934397468885,0.09754329815147779,0.0005,0.9686677810592256,0.09122620984312779
11,0.9660926227264385,0.09698744543781225,0.0005,0.9667500479830533,0.1043840713712028
12,0.9660230759296795,0.09650074555978815,0.0005,0.9669446007441609,0.10222423098855754
13,0.9662277801270637,0.09606776017652277,0.0005,0.9680470658647411,0.09453845043822486
14,0.9666463738041069,0.09535923007588656,0.0005,0.9692329108637749,0.09056719544835283
15,0.9665597678982818,0.0948081198727576,0.0005,0.968445434397142,0.094279618914953
16,0.9666699929784335,0.09527307857855485,0.0005,0.9679358924254678,0.1006472328583554
17,0.967051845649016,0.09441094116297906,0.0005,0.9685102877449897,0.09505864564624124
18,0.9670321612966557,0.09411336017898,0.0005,0.9693718772454021,0.08827503998455834
19,0.9672132463219033,0.09310807066724193,0.0005,0.9686955752075878,0.0900193752211201
20,0.9669967324267619,0.09326169883132432,0.0005,0.9693996704351423,0.08755179910730913
21,0.9673142862008093,0.09309839808272287,0.0005,0.9689735059144432,0.0888417505452605
22,0.9674835607114378,0.09221424949356621,0.0005,0.9699925919760372,0.08672333737562293
23,0.9676239667546895,0.09224515045562323,0.0005,0.9689457137142483,0.08866732467627865
24,0.9676055957784239,0.09172017147820202,0.0005,0.9692236476371261,0.08786444713478732
0,0.9674363210225178,0.0919269652652644,0.0005,0.969344084179355,0.08893005436844399
1,0.9677066356573298,0.0917188803822813,0.0005,0.9681026533729217,0.10939093616570016
