epoch,acc,loss,lr,val_acc,val_loss
0,0.9497963411551261,0.15151213785977613,1.0,0.9530757792110418,0.14216399784991096
1,0.9558862884858356,0.1275461326565851,1.0,0.9484250504373731,0.14591875559083836
2,0.9579503881693473,0.12025080432521126,1.0,0.953928107726744,0.1344608777749863
3,0.9598543973827877,0.11520212363560807,1.0,0.959069853951495,0.11888300786724969
4,0.9608976011102448,0.11128910330667964,1.0,0.9594867542405382,0.11603952977327985
5,0.9620890837551044,0.10836923254598584,1.0,0.9622382831480717,0.1090746949444949
6,0.9624289464371532,0.10673723603096892,1.0,0.9590235299791962,0.12010455496812145
7,0.9630469949856807,0.10449073623464666,1.0,0.9587826615177704,0.11889294042468225
8,0.9641781160875864,0.10217418769575626,1.0,0.9564017059583454,0.12209936365697789
9,0.9645245375033886,0.10071777621158956,1.0,0.9597276252995205,0.11531793266225572
10,0.9649129490413134,0.09905752652090101,1.0,0.9591717626334164,0.1162655268758342
11,0.9670570942566029,0.09291540747314388,0.5,0.9686585161781806,0.09005868699686691
12,0.9679769503403215,0.09074095305016097,0.5,0.9628034122413853,0.10546507764651154
13,0.9680150036563573,0.08990928591560769,0.5,0.9641189566846023,0.10033791378894205
14,0.968308937758953,0.08880243793709718,0.5,0.9647396751414941,0.10201870012260132
15,0.9686212431356515,0.08791427453126101,0.5,0.9670557733485052,0.0933104489583295
16,0.9690175277338751,0.08654403717347385,0.5,0.9652677454682485,0.0996298586869982
17,0.9703625399885834,0.08275747329032793,0.25,0.9701500891711461,0.0847141506742256
18,0.970878237147972,0.08130927074510476,0.25,0.970048177288664,0.08619556432026988
19,0.971051447558036,0.08097189403193017,0.25,0.9688438058208708,0.09060655881381376
20,0.9714437957596989,0.07990977897017534,0.25,0.9697795098857657,0.08637741351676513
21,0.9716222571074868,0.07934094317060032,0.25,0.9687789553179661,0.08893474607732045
22,0.9718755118229407,0.07831847480998425,0.25,0.9697795103805383,0.0859744158545666
23,0.972817677480414,0.07550737693362168,0.125,0.9715953334914725,0.08141199092727382
24,0.9731877171595118,0.074559941382518,0.125,0.9716972437968668,0.08061931366354574
25,0.9732861339172127,0.07418174197822103,0.125,0.9721141417666632,0.0804224238650035
26,0.9737073518651997,0.07340791595912012,0.125,0.9711969648663017,0.08237325581401857
27,0.9738267620721378,0.07263074273636853,0.125,0.9709931478116918,0.08313729716452797
28,0.9739159919225999,0.07193814084428218,0.125,0.9716601852158473,0.08119541613430983
29,0.9741666237183267,0.0718775474661668,0.125,0.9710116772027022,0.08231155302776591
30,0.9744723671660932,0.07103126444091969,0.125,0.971549012039422,0.0821299075345894
31,0.9752085150836493,0.06899662763641343,0.0625,0.9714748997478015,0.08049994626513715
32,0.975461769912982,0.06844638472910022,0.0625,0.9725403028858002,0.07852339803128855
33,0.9754735807254382,0.06769970679815746,0.0625,0.972568097884553,0.07906853085439339
34,0.9756572897566421,0.06750254492230694,0.0625,0.9727626528721375,0.07851776164290815
35,0.9758200035537765,0.06687974695125999,0.0625,0.972503245294326,0.07874635686438371
36,0.9759485977947018,0.06682471309820656,0.0625,0.9725403053596635,0.07845108273853434
37,0.975610050694056,0.06685436494251797,0.0625,0.9725217755666503,0.07924522552470134
38,0.9761362457694115,0.06608711612224798,0.0625,0.970233467024124,0.08533512966758082
39,0.9761782349104235,0.06565026735958995,0.0625,0.9721419364716447,0.08046202212958639
40,0.976413119534363,0.06521045160229194,0.0625,0.972808973149103,0.07919015550234593
41,0.9765692721143084,0.06457280604794353,0.0625,0.9727070641115636,0.0788935505849069
42,0.9769694943135809,0.06327520425962124,0.03125,0.9728275035760436,0.0788691441449983
43,0.977200444341122,0.06305670235264278,0.03125,0.972753386228465,0.07839280284177777
44,0.9773894014608879,0.062486560229525076,0.03125,0.9727070648537226,0.07863599896701548
45,0.9774576361167,0.06253148000537484,0.03125,0.9730961673763785,0.07803674181766238
46,0.9773605325445656,0.062197635938028926,0.03125,0.972484723046596,0.0791436196320561
47,0.9776780860032561,0.06178604546798451,0.03125,0.9727441200486417,0.07888819065461981
48,0.9777476330693824,0.06152845587459989,0.03125,0.9729479394224986,0.0797091441530971
49,0.977682023194779,0.06117609868797017,0.03125,0.9726329463001355,0.0791372091157891
50,0.9779392163828933,0.06080975112920908,0.03125,0.9728182379219164,0.07988703690382293
51,0.9780035135208757,0.060229504953651154,0.015625,0.9729016163315136,0.07929833351831338
52,0.9783368142323827,0.05963569780052087,0.015625,0.973031319826648,0.07888858922106128
53,0.9783945511101967,0.059524190209420805,0.015625,0.9728460317301224,0.07990275320298632
54,0.9782449602270458,0.0596523073357449,0.015625,0.9728552948021548,0.08059993831757287
55,0.9783774925792849,0.059324492953511575,0.015625,0.972966468334198,0.08047068443550365
