epoch,acc,loss,lr,val_acc,val_loss
0,0.9466850985750837,0.1658779855308523,0.001,0.9407448508705456,0.16763821011155497
1,0.9491166162662539,0.1527067218591102,0.001,0.9494626562573721,0.15719305991198765
2,0.9497267922384679,0.15011114972071868,0.001,0.9455438127622839,0.1581743761916414
3,0.9500062941944248,0.14872280873143906,0.001,0.9503798366675271,0.1501643858917647
4,0.9505311750505439,0.14736405260378851,0.001,0.9434315269868507,0.1764741718189262
5,0.9514142899876431,0.14593414348495495,0.001,0.9494533925050272,0.1564186230978304
6,0.9521268185118748,0.1453639303400133,0.001,0.9164165113841204,0.5932086562522809
7,0.9524496212285757,0.1444148384375449,0.001,0.9328608395833758,0.2187025828274926
8,0.9528104767554275,0.14428257544362738,0.001,0.9108300787156348,0.9989737319265977
9,0.9541502401003319,0.13944652552410555,0.0005,0.9563924429945445,0.1365560760525878
10,0.9544218666067235,0.13886381245986112,0.0005,0.9565221423614195,0.13463709270907748
11,0.9544533587844094,0.1386846241333809,0.0005,0.9138965985499776,0.40207451238706415
12,0.9546934921341946,0.13804530514001837,0.0005,0.9492959010461889,0.19064136721126146
13,0.9549152552435469,0.13783982798041597,0.0005,0.956614786425144,0.1330369731447576
14,0.9549729930674316,0.13758884140584565,0.0005,0.9565314050005258,0.13804867730105125
15,0.955087154533194,0.1380148001679571,0.0005,0.9570780066509964,0.13607652489042776
16,0.9549795544422991,0.13782096222039206,0.0005,0.9499722044910129,0.16083904367167354
17,0.9551173346553423,0.13769032767463882,0.0005,0.9560218614826871,0.14792053003526073
18,0.9550819071300953,0.13762973641238485,0.0005,0.9554659997906666,0.1422535277719473
19,0.9561894069837649,0.13424804600413315,0.00025,0.9574578476323228,0.1351742826431178
20,0.9563875498807408,0.13369017618024936,0.00025,0.9575041736455588,0.1308151884920093
21,0.956290448286157,0.13403683849259138,0.00025,0.9579673902997711,0.13025281278732995
22,0.9564111698171799,0.13386677924819967,0.00025,0.9567908080789984,0.13247394794658618
23,0.9564610346771247,0.1339363478720637,0.00025,0.9557624594092214,0.14099490924142832
24,0.9565633867232574,0.13357571470440496,0.00025,0.9570131564882479,0.1346510976514309
25,0.956445287148371,0.13409881943731894,0.00025,0.9568000751246738,0.14141238804727832
26,0.9564820288972342,0.13387017583025365,0.00025,0.9555771729361686,0.13965971784137102
27,0.957229985958483,0.13124580096421812,0.000125,0.9565591983603442,0.13286477665570304
28,0.9574150085825895,0.1310021565550854,0.000125,0.9589494150590958,0.12887795266010418
