epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.942014963016208,0.18000740933024953,0.01,0.9512321640236059,0.1546603854528197
1,0.9502936667710445,0.1502753302641644,0.01,0.9562164190678281,0.13163642220769256
2,0.953466580647911,0.13758664029637147,0.01,0.9552065953824925,0.13455319513993194
3,0.9556172865175652,0.12973706238361873,0.01,0.9583935546658537,0.12745039578039205
4,0.9569465501353905,0.12484859706951054,0.01,0.9584028182481205,0.12479466219201936
5,0.958147217440571,0.12134226482892214,0.01,0.9610153823974995,0.11929757211999979
6,0.9594397413878226,0.11761419397389096,0.01,0.9630257591199318,0.10765926905179302
7,0.9601378340774916,0.11506819399824814,0.01,0.9640263096831652,0.10892668063577202
8,0.9608857918701932,0.11287367703059062,0.01,0.9639336677840712,0.1134613942736627
9,0.9617807156859977,0.11031006636694728,0.01,0.9643413012284404,0.10939397042672767
10,0.9620260978295179,0.1085336737026215,0.01,0.966221976558522,0.10124725099512884
11,0.9630417457802297,0.10597851208990167,0.01,0.9632481014527545,0.1112429892893122
12,0.9633514254384087,0.10485059039547279,0.01,0.9659718376498587,0.10414356019748942
13,0.9636768519026486,0.10354907045892778,0.01,0.9663053577202921,0.10326420765481262
14,0.9636978474257953,0.10285168854649002,0.01,0.9620529915881373,0.112189798387572
15,0.9644077504636451,0.10076601046391447,0.01,0.9654067108912536,0.10236466500507099
16,0.9657960641820806,0.09741650699417224,0.005,0.9687048366870707,0.09261599167234394
17,0.966427234691951,0.09550364505107184,0.005,0.9688530728510846,0.0921819746436312
18,0.9665190896367888,0.09463332842496314,0.005,0.9690198292064296,0.09169495184017991
19,0.966629315073907,0.09402708305024679,0.005,0.9701686164284494,0.08995280814696534
20,0.9668786341461527,0.09316022293947049,0.005,0.9691124757904023,0.09045201727272471
21,0.9671043323424586,0.0924867230425786,0.005,0.9684547006542735,0.09201495797021844
22,0.9675334233091348,0.09171377592207329,0.005,0.9667500531627047,0.0973345737087742
23,0.9677866801729577,0.09072625132702396,0.005,0.9690939443739163,0.08992325312587228
24,0.9681947765625578,0.08961272279761665,0.005,0.9686307261735394,0.08959005947590802
25,0.9683456804429372,0.08890073650768109,0.005,0.9695756932795434,0.0907312589203492
26,0.9685740031204247,0.0882694030261808,0.005,0.9675560528975362,0.09402104119846329
27,0.9686947261581529,0.08780118900905189,0.005,0.96832499763845,0.09141981345245037
28,0.9688062626740783,0.0877101275021838,0.005,0.9688901281233119,0.0892321017562338
0,0.9675859119428983,0.09135753345571845,0.01,0.9671762114523604,0.10229343919206686
1,0.9676475851778534,0.09068029332082986,0.01,0.9649434866762965,0.09916216715223285
2,0.9675557316981113,0.09060292527647335,0.01,0.9667685785336871,0.09798994097960134
3,0.967915276645471,0.08953680519134909,0.01,0.9680563332041878,0.09455893877144762
4,0.9684768994103217,0.08842425122865306,0.01,0.9685195502140179,0.08978257848169707
5,0.9685818768815166,0.08789674173039325,0.01,0.9691402703871523,0.0917265254893037
6,0.968844317737717,0.08746555075391585,0.01,0.9624698947994317,0.10678102291357038
7,0.9694781125820405,0.08624303178853457,0.01,0.9670650404869505,0.09549693491517647
8,0.9693180236778037,0.08573315220628648,0.01,0.9667685802190066,0.09457560026808008
9,0.969757612856094,0.08487961107826857,0.01,0.966675935722356,0.09735653400807684
10,0.9709464708511434,0.08110769945321533,0.005,0.9673707657132476,0.09192327801355592
11,0.9717154230325828,0.07921349110310576,0.005,0.9674912039717193,0.09365726698542692
12,0.9720237914170464,0.07834976167171108,0.005,0.9699092124222781,0.08727654767175592
13,0.9726365919011019,0.07668717691316425,0.005,0.9697146621659573,0.08654111461416757
14,0.9727507534938832,0.0763396937738865,0.005,0.9687511626539218,0.08881963102192884
15,0.9728885353669301,0.07576403375822463,0.005,0.9695015811889243,0.08659564935047803
16,0.9732493909945209,0.07534597171160162,0.005,0.9684547005615036,0.08920693108969006
17,0.9730197552059261,0.07480600752092745,0.005,0.9693348204424719,0.08995660069349057
18,0.9735498870391887,0.07383955131727439,0.005,0.9712710819974174,0.08525927718511352
19,0.9736404294795431,0.07309167701531312,0.005,0.9661756543024659,0.09581726378001437
20,0.9737047269635422,0.0729752550964497,0.005,0.9681026517494489,0.0943606567077445
21,0.9740104706434463,0.07227805697248242,0.005,0.9693255541853404,0.0896146943500379
22,0.9742191127024868,0.07213549793289976,0.005,0.9648045246548536,0.10093974563089017
23,0.9746075254908892,0.07145453582443514,0.005,0.9676486984146554,0.09342930697474808
24,0.9753817257039512,0.0686631820917734,0.0025,0.9706781609358336,0.08546989126814633
25,0.9760653846110675,0.06692322683280916,0.0025,0.9708449208473572,0.08686060131214626
26,0.9763448861815881,0.06660646957584117,0.0025,0.9715304820144841,0.08352341988400572
27,0.9767608547576858,0.06587073804437184,0.0025,0.9709746183742963,0.0887584492448239
28,0.9765745217095756,0.06580124702198524,0.0025,0.9710765273499891,0.08550818887008922
