epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.9414562193006135,0.18273293946178382,0.01,0.9524860813091328,0.15016232406164146
1,0.950342155100185,0.1511856011450225,0.01,0.9590538052459816,0.12916639606286953
2,0.9539881068168998,0.13684662961246474,0.01,0.9584230073396262,0.12324239280316737
3,0.9557054682654135,0.1301159725216097,0.01,0.9600185539815334,0.11966979769917277
4,0.957282449630538,0.12465307580424953,0.01,0.9630890556124898,0.11409577332533799
5,0.9581811447382131,0.12136189261756947,0.01,0.9632281986459509,0.1125401818287837
6,0.9588804220778404,0.11907278631523226,0.01,0.962402601830371,0.11500588729397043
7,0.9600073996731242,0.11563649404106724,0.01,0.9642764395862431,0.11018059618287272
8,0.9605689195381116,0.11341521901013998,0.01,0.9656215214729309,0.10297735995286471
9,0.9612406466440068,0.1112717506036805,0.01,0.9643320978152288,0.10486883765691286
10,0.9618992525258988,0.10885398953673543,0.01,0.9555658642038123,0.12513053486873577
11,0.9628412424138603,0.10666367311768787,0.01,0.959517627505513,0.11753189264179824
12,0.9634801699433633,0.10486216533631601,0.01,0.953998141815136,0.1232787814078393
13,0.9637635540370157,0.103062364718831,0.01,0.9689795951719408,0.09509890310950093
14,0.9641833819953097,0.10238181333051492,0.01,0.9424211445721713,0.1547991925787616
15,0.9644707031660239,0.10078052665246469,0.01,0.950705006803785,0.1318642697705851
16,0.9651909708258565,0.09906722575614406,0.01,0.9665584445928599,0.09752409655552406
17,0.9653680864547739,0.09812262261220828,0.01,0.9515120568213524,0.12964022585323878
18,0.9656422871809739,0.09709990451150843,0.01,0.9632282012468809,0.1058279961966849
19,0.966855855725022,0.09373804098938733,0.005,0.9703339531514552,0.08920030904667718
20,0.9671339901344403,0.09250686229934998,0.005,0.9689053813513223,0.09490777639212547
21,0.9677532382517994,0.0906504799386956,0.005,0.9526623341634676,0.12090440123112171
22,0.9677125673721122,0.09016083550559599,0.005,0.9688311685215343,0.09120735542727755
23,0.9678634431542398,0.09004270945963122,0.005,0.9687940646456433,0.09453369810983732
24,0.9684892492101278,0.08889515517370784,0.005,0.9704545504086978,0.08815293569069405
25,0.9685653441667504,0.08858585541426203,0.005,0.9699350649660284,0.08917137264044254
26,0.9689458146451564,0.08753962256548056,0.005,0.9702040867371993,0.08674901980084258
27,0.9691465442014752,0.08689865198096665,0.005,0.9675417454521378,0.09532364134277617
28,0.9693079154108336,0.08662327685802639,0.005,0.9700463836843317,0.08633873853590582
0,0.9677952208015205,0.09018737195402736,0.01,0.9673562191059063,0.09405992239326626
1,0.9680274381415813,0.09002882945877827,0.01,0.9649443428547352,0.10235171116404719
2,0.9678844347750534,0.08979850359456455,0.01,0.9682189242251508,0.09305319775621612
3,0.9686073259107074,0.08856872596072726,0.01,0.967931356522944,0.09494959645844125
4,0.9689602455641957,0.08758070773653284,0.01,0.9670500955333957,0.09719038321600332
5,0.9689130136236438,0.08671774688253378,0.01,0.9682931362808525,0.09309489305530276
6,0.9689182618890325,0.08677943308136568,0.01,0.9710296893429446,0.08454451306686774
7,0.9691452323475168,0.08653611117286533,0.01,0.9688404485157558,0.09203628937919418
8,0.9696070437226041,0.08531155768404472,0.01,0.9690167013081638,0.08944435008547523
9,0.9700885351491915,0.08407409831166626,0.01,0.9681261615319685,0.09151687831073613
10,0.9698707487894781,0.08428499228383624,0.01,0.9693135473944924,0.09038467140166791
11,0.9701961159933832,0.08345328025773291,0.01,0.9682745871605811,0.09439585266562252
12,0.9722952581233206,0.07794274926518424,0.005,0.9707235665445204,0.08620503669435328
13,0.9722887003249245,0.07710077413163811,0.005,0.9707513960305747,0.08651459844468476
14,0.972820044947655,0.07615505318740282,0.005,0.9525324672847599,0.12728374339156337
15,0.9729814160519138,0.07525017997930782,0.005,0.9705287611020076,0.08818177560707191
16,0.9734248599870525,0.07405717368920206,0.005,0.9638775503790223,0.10018003140564088
17,0.9747053380533106,0.07108514292348878,0.0025,0.9705194817889821,0.08444420863281597
18,0.9747774960467296,0.07033795708751146,0.0025,0.9707792245257985,0.08576972800028788
19,0.9752353724686441,0.06940295805863259,0.0025,0.9719573325615425,0.08303497187890016
20,0.9752629241518757,0.06961264671751932,0.0025,0.9712059402156186,0.08472051452893715
21,0.9756119062115624,0.06828911008793499,0.0025,0.9710760701786388,0.0866612912540312
22,0.9754452855194108,0.06875834211156437,0.0025,0.9711688353488972,0.08665138478015924
23,0.9756302742339382,0.06819708703093855,0.0025,0.971734697199487,0.08540515097317758
24,0.9759517043169902,0.0674223173673818,0.0025,0.9708070556529157,0.08801180158729677
25,0.9765381529236442,0.06602090125189548,0.00125,0.9716141024193207,0.08416319424455816
26,0.9769068157573914,0.06481060170523434,0.00125,0.971660486970629,0.08571036732041991
27,0.9769973406871563,0.06459190095795014,0.00125,0.9723469424247742,0.08447812318414837
28,0.9769711015059975,0.06454613608850125,0.00125,0.972523194381169,0.08481088548511653
