epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.9102258536535109,2.5328746787287497,1e-04,0.945613588450163,1.451731177662739
1,0.9308924293208706,1.7993910327417526,1e-04,0.9451155423150827,1.7554184160899922
2,0.9376566577224877,1.5239711553429616,1e-04,0.9377535399026852,1.7575653987288717
3,0.9413876483940298,1.3948419741985194,1e-04,0.9437934607569635,1.48831262211287
4,0.9450830914776643,1.2916441294550016,1e-04,0.9493081678483356,1.3876575969053815
5,0.9468393155130023,1.2356254773940072,1e-04,0.9505849733313972,1.483202656190729
6,0.9490273565150615,1.1797156767379706,1e-04,0.9513546750705092,1.4639082368440608
7,0.9503912623742097,1.1390592325616116,1e-04,0.9523054878803586,1.2681291226682991
8,0.9497619700340422,1.1462629129667965,1e-04,0.9551760364497651,1.2939280249767806
9,0.9508046483930251,1.1055979381371164,1e-04,0.9546870442964968,1.215034996882897
10,0.9517130401063478,1.0830409602758913,1e-04,0.9568874958078953,1.188777743440129
11,0.952105361182793,1.0653162620581558,1e-04,0.9469356707336937,1.6754378152909193
12,0.9530953755775268,1.050796558321911,1e-04,0.9557736887167724,1.1358980440948363
13,0.95351534347132,1.0324348723139605,1e-04,0.9575213701681481,1.1149461900486666
14,0.9537891780370388,1.0345039147256363,1e-04,0.9586985654086176,1.1263851142558317
15,0.9544526984015949,1.0142331858786535,1e-04,0.9587981751676021,1.1271818000936604
16,0.9542525886821381,1.0161090686025256,1e-04,0.9566973361959322,1.1206981509500777
17,0.9536588425412709,1.0254562971198922,1e-04,0.9564981188541977,1.1234394667356542
18,0.9538076088443262,1.0145780314600457,1e-04,0.9571682133732654,1.1062152186223508
19,0.9549569212486877,0.9913904565303806,1e-04,0.9595407120596323,1.005027690959025
20,0.9557573607592975,0.9711566539473043,1e-04,0.9601926994613895,0.9868606038799634
21,0.9562589511938835,0.960932200354343,1e-04,0.9588072290285122,1.181868129521306
22,0.9566446888661251,0.9506464721319142,1e-04,0.9606635778477419,0.9662054606673683
23,0.9569843496168233,0.9448581579265184,1e-04,0.9614151734367588,0.939357007613772
24,0.9569553845894088,0.9429827976001817,1e-04,0.9603738054542464,0.9760705585653835
25,0.957093618394913,0.9417352577079823,1e-04,0.9600749806506639,0.9775960278559408
26,0.9569290549099111,0.9389671710907833,1e-04,0.9609080710227301,0.9612346376173395
27,0.9574912057377111,0.9278269961357679,1e-04,0.9615872256896075,0.9089557312081358
28,0.9582837451632766,0.9180281951307231,1e-04,0.9615419458665906,0.957968775931043
29,0.9579072227452716,0.9220802511869367,1e-04,0.9600297031247833,1.0248517442426623
30,0.9574977880521216,0.928325405130693,1e-04,0.9594320523085991,0.9598264139274071
31,0.9576044270894549,0.918288399919371,1e-04,0.9631990746842437,0.9031964998699831
32,0.95845752458803,0.9038220950721183,1e-04,0.9629093039833749,0.8972799597840764
33,0.9588129816418094,0.8985165441257699,1e-04,0.961849829004454,0.9631699270457331
34,0.9584088129865072,0.9028820459802606,1e-04,0.9613789491672786,0.930500199901163
35,0.958055987554256,0.9123826394809519,1e-04,0.9579560286374895,1.0019096950972055
36,0.9584601577387838,0.9030180042101479,1e-04,0.9629908040861087,0.9360298301578777
37,0.9588946059579099,0.896705995070762,1e-04,0.9630089128960461,0.8992113888142801
38,0.9595001996249022,0.8777450845326621,5e-05,0.9632715195961463,0.9143621262623862
39,0.9599083184984996,0.8734764957702185,5e-05,0.9633439597928741,0.8850741197806584
40,0.9599517626559899,0.870731438728463,5e-05,0.9641317769915289,0.8488663734819052
41,0.9601110605601538,0.8619992339621599,5e-05,0.9645121015351394,0.8293142779361887
42,0.960053134425064,0.8571164397074037,5e-05,0.9645573783356084,0.8272046568911168
43,0.9604862669828331,0.85587704489274,5e-05,0.9645573790610199,0.8285121459506346
44,0.9607732660191771,0.849835376442797,5e-05,0.9648471490364771,0.8127219146212022
45,0.9608404088146881,0.847358989332391,5e-05,0.9646479321783503,0.8104838685380035
46,0.9610392016775311,0.8409544070784373,5e-05,0.9643853252364463,0.8327510529792816
47,0.9610958105341518,0.8341407798729404,5e-05,0.9656530751659711,0.7934673411609193
48,0.9612669585834595,0.8374098159506833,5e-05,0.9658251260888988,0.7994210568934861
49,0.9615816028200396,0.8337147452950091,5e-05,0.9652908605204151,0.8480527677835847
50,0.9617724965997446,0.828697316715479,5e-05,0.9656621295104888,0.8176838287717189
51,0.9616763933469187,0.8236345689369141,5e-05,0.9653361373208841,0.8488608254138644
52,0.9619252129804768,0.821654055875088,5e-05,0.9658613463686155,0.8109724478112273
53,0.9621542858465764,0.8144653288708503,2.5e-05,0.9653904708839092,0.843176290664905
54,0.9621279564483156,0.8124071399534885,2.5e-05,0.9657164630735138,0.8607890685721779
55,0.9623807249642937,0.8106345319002647,2.5e-05,0.9658432374377763,0.8681306201836159
56,0.9624636655921115,0.8082933539980036,2.5e-05,0.9657979594282882,0.8335752140194117
57,0.9622846211841486,0.8104222204895436,2.5e-05,0.966214503526204,0.8130391703174273
58,0.962674306754481,0.8034206898435313,1.25e-05,0.9660967856826937,0.798122760732082
59,0.9625926836512145,0.8037179864215767,1.25e-05,0.9662326158422969,0.7829799338963646
60,0.9627598790565588,0.801167551815879,1.25e-05,0.9660786736084046,0.8044317958321098
