epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.8703788994636709,0.30924040049630525,0.9589907067987092,0.12790728758023023
1,0.9595678241003239,0.12266054377100884,0.9612127195327979,0.11854394377912317
2,0.9636178906161188,0.10960950006467558,0.9665566942965931,0.09980481619553559
3,0.9653994624214266,0.10348259415946615,0.9691349719277669,0.09359525549880676
4,0.9666142291337382,0.09981583214659985,0.9703101395388414,0.08930746495650459
5,0.9674443605496472,0.09701254793587924,0.9704384618014683,0.08817318070865886
6,0.9681502273308014,0.09485100077447894,0.9709196729126207,0.08625316277918449
7,0.9686827967280218,0.09327287164133531,0.9716642844785179,0.08435972925957501
8,0.9690877197367115,0.09204692018049568,0.9716288266131449,0.08489105782828064
9,0.9695002495892638,0.09101997470792508,0.9716592189854465,0.08315493306497312
10,0.9696866493066182,0.08982894806160639,0.9724072080426786,0.08134458954734855
11,0.9701689205325884,0.08870121727534777,0.9717385770693849,0.08398951734902278
12,0.9705489043980876,0.08802012052253676,0.9724359114213358,0.08078967687165232
13,0.9706283673217996,0.08720090145573564,0.9715460930667739,0.08319916109076832
14,0.9709271984419979,0.08644950234812107,0.9726858018656541,0.0808528338906985
15,0.9712391312297062,0.08567642894004064,0.9728749109017867,0.08137967026934771
16,0.9712746370427876,0.0851037258511916,0.9725794299377436,0.08234911481039697
17,0.9715620556737274,0.084436702147857,0.9721860185423344,0.08191690653275117
18,0.9731593419263543,0.07994142144176346,0.9739301979722126,0.07650648530871353
19,0.973445069821489,0.07886042985327991,0.974119305881177,0.07599993349079735
20,0.9736162536840867,0.07798392535323978,0.9740382598405887,0.07614810007050882
21,0.9737612299566083,0.07756622974905264,0.9741345012332235,0.0753991111687493
22,0.973991165466323,0.07717513931709535,0.9741108630771175,0.07546927884035094
23,0.9741940490790015,0.07671355886134071,0.9741986633339015,0.07549219907919416
24,0.9743271918148734,0.0762884741660671,0.9741986637847687,0.07519921939679156
25,0.9743998925064216,0.07607334824354783,0.9742763315675479,0.0747420746585109
26,0.9744548396593783,0.07582342017373563,0.9742577580027789,0.07496019341925134
27,0.9746420845527627,0.07520638398164445,0.9743877702058714,0.07509765933505887
28,0.9746606821951553,0.0752392110461184,0.974423228477025,0.07465331420674357
29,0.9746780112326495,0.0748178849934606,0.9744654400626398,0.07444940712697432
30,0.9748521537474668,0.07455442537343925,0.9745329769494494,0.07433817348669815
31,0.9749138646788544,0.07416251492826771,0.9743320524422016,0.07481149058653755
32,0.9750089655995166,0.07381542999691706,0.974369197858444,0.07434369731869171
33,0.9751002639334574,0.07355635055855603,0.9743556895162262,0.07436455279988843
34,0.9752046641832137,0.07326800250613177,0.9744586862071379,0.07441343821771161
35,0.9754028983965807,0.07291368702509439,0.9743185437392899,0.07450708951631986
36,0.9754895466540127,0.07236321162220102,0.9746140242524659,0.07394043754774982
37,0.9756155036724193,0.07196162439864415,0.9745498629633489,0.07406608119139196
38,0.9756429778132288,0.07212396937231463,0.9745279127188061,0.07401985103058743
39,0.9755964835266615,0.07180081760834235,0.9746224664703981,0.07395549366354898
40,0.9756433996506835,0.07179465313325482,0.974548174871439,0.07411902878467282
41,0.975676792145588,0.07186569513136172,0.9745751904737932,0.07396570730774062
42,0.9756425549486916,0.07179751224453262,0.9746494816669719,0.07389480882266511
