epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.8252841266130155,0.4239148144285215,0.9542817154133265,0.15971934353319395
1,0.9552950426586463,0.14583797958721093,0.9631544025063695,0.12405442020803555
2,0.9619644390733562,0.11718823089575243,0.967227470983323,0.09948616693635812
3,0.9649100738389306,0.10701723458537273,0.9676085289946457,0.09781950831481104
4,0.9665482753294151,0.10124117204669883,0.9696780853821403,0.09158487010843294
5,0.9677509457256467,0.09729082013827937,0.9696713127930718,0.08967707259792479
6,0.9684792216486501,0.09452334111366058,0.9709093209825264,0.08548352481834082
7,0.9690668286246661,0.0922808591262307,0.969485017797473,0.08983086464482844
8,0.9696079664705018,0.090375623505712,0.9705282655941698,0.08713312618920582
9,0.9701385454054045,0.08884372225173669,0.9711277945269583,0.08404616906967619
10,0.9705609798115551,0.08739583722451796,0.9706722211222728,0.08503229055717611
11,0.9709707410564755,0.08601231278709216,0.9716443379659754,0.08313860673010802
12,0.9712706696887886,0.08517408514512388,0.9720152341541644,0.0816159034048932
13,0.9713382587840754,0.084348435078682,0.9721490258692972,0.08148840932410115
14,0.9717632270418812,0.08311410331189135,0.9723268501313576,0.08024186280885306
15,0.972019644531673,0.08238907028370333,0.9714698983251777,0.08256351838682599
16,0.9723398508130376,0.08144059645281336,0.9704791501910625,0.0835903233739693
17,0.9725020656659692,0.08058414663090163,0.9723268517594055,0.08003232387291644
18,0.9729992713240581,0.0795510233937566,0.9725419373360317,0.07925548858951907
19,0.973215557132861,0.07862614461676945,0.973002591968849,0.07865168473065713
20,0.9732772326667953,0.07806510605301531,0.9732244517625915,0.07759670762851133
21,0.9736629157107857,0.07722772707081176,0.9721185415757082,0.08057219097009197
22,0.973883849147772,0.07621561600787904,0.972565648950105,0.07972107149310105
23,0.974066340747338,0.07549335296145224,0.9729941235869354,0.07769174691804082
24,0.9742826270524703,0.07478879510730302,0.9733057433629072,0.07724735745100222
25,0.974674223545011,0.07371380756116337,0.9707365769536795,0.08483101435469206
26,0.9748622075930227,0.07287193889067671,0.9733955037973719,0.07649699373563613
27,0.9751841018680006,0.07209426571419751,0.9719525714926365,0.08160693838921049
28,0.9753712413213543,0.07127626102070841,0.971591836765793,0.08199521928053344
29,0.9756010446153204,0.07033400825964375,0.9728654117432277,0.0785052923313222
30,0.9758321170234753,0.06955972625355798,0.9732295349805598,0.07802033085200782
31,0.9760758621190914,0.06860071755268869,0.9728112176445077,0.07894016651942624
32,0.9780955219656838,0.0626979269479302,0.9753363516877019,0.07091175611039033
33,0.978758321261424,0.06075817956973394,0.975251671576898,0.07146341071572941
